City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,usinsk,65.9939,57.5281,-25.52,100,98,1.79,RU,1702166527
1,bilibino,68.0546,166.4372,-17.52,99,99,0.94,RU,1702166527
2,ilulissat,69.2167,-51.1,-5.99,73,75,5.66,GL,1702166527
3,badger,64.8,-147.5333,-22.58,79,29,1.25,US,1702166527
4,krasnovishersk,60.4078,57.082,-31.68,99,16,0.81,RU,1702166528
5,kodiak,57.79,-152.4072,-2.23,64,57,4.82,US,1702166528
6,ribeira grande,38.5167,-28.7,18.76,92,100,8.94,PT,1702166528
7,laojunmiao,39.8333,97.7333,-2.88,45,100,1.19,CN,1702166529
8,waitangi,-43.9535,-176.5597,15.46,89,100,4.92,NZ,1702166480
9,ushuaia,-54.8,-68.3,10.81,66,0,7.2,AR,1702166491
10,xunchang,28.4543,104.715,14.62,77,100,0.42,CN,1702166529
11,west island,-12.1568,96.8225,25.99,83,40,7.2,CC,1702166530
12,malanje,-9.5402,16.341,16.74,98,98,0.62,AO,1702166530
13,jamestown,42.097,-79.2353,13.77,79,75,5.66,US,1702166284
14,grytviken,-54.2811,-36.5092,3.77,86,41,4.54,GS,1702166358
15,ust-nera,64.5667,143.2,-17.06,98,94,1.71,RU,1702166277
16,newnham,-41.3833,147.1333,18.15,55,98,2.57,AU,1702166531
17,papatowai,-46.5619,169.4708,13.68,50,21,6.87,NZ,1702166531
18,wildwood,38.5828,-90.6629,7.97,59,100,8.23,US,1702166532
19,aasiaat,68.7098,-52.8699,-10.76,82,100,2.38,GL,1702166532
20,port-aux-francais,-49.35,70.2167,3.27,78,81,11.67,TF,1702166532
21,zhenzhou,32.2692,119.1789,12.72,86,98,6.04,CN,1702166532
22,whitehorse,60.7161,-135.0538,-9.95,89,100,2.57,CA,1702166532
23,soio,-6.1349,12.3689,26.87,79,97,2.85,AO,1702166532
24,nizhnesortymskiy,62.4397,71.7603,-36.53,99,12,3.46,RU,1702166533
25,fale old settlement,-9.3852,-171.2468,29.07,72,96,3.52,TK,1702166533
26,yellowknife,62.456,-114.3525,-9.71,85,100,5.66,CA,1702166243
27,labrador city,52.9463,-66.9114,-12.05,79,75,3.09,CA,1702166278
28,sitka,57.0531,-135.33,3.94,81,100,5.14,US,1702166533
29,donetsk,48.0,37.8,0.19,87,100,5.43,UA,1702166534
30,adamstown,-25.066,-130.1015,21.47,79,100,4.15,PN,1702166534
31,kralendijk,12.15,-68.2667,27.99,78,20,9.26,BQ,1702166262
32,iqaluit,63.7506,-68.5145,-5.15,86,100,6.69,CA,1702166534
33,laguna,38.421,-121.4238,15.06,58,0,2.06,US,1702166534
34,martuk,50.7475,56.5056,-15.34,76,86,3.42,KZ,1702166535
35,blackmans bay,-43.0167,147.3167,16.96,51,61,0.89,AU,1702166241
36,stanley,54.868,-1.6985,7.62,91,75,7.72,GB,1702166535
37,lihue,21.9789,-159.3672,26.52,67,0,3.09,US,1702166261
38,tiksi,71.6872,128.8694,-24.4,99,100,2.01,RU,1702166535
39,invercargill,-46.4,168.35,13.25,55,28,6.93,NZ,1702166535
40,tolanaro,-25.0319,46.9987,24.04,88,40,3.09,MG,1702166536
41,college,64.8569,-147.8028,-22.53,78,0,0.0,US,1702166406
42,kibre mengist,5.8833,38.9833,15.53,63,93,1.5,ET,1702166536
43,sinabang,2.4803,96.3801,26.03,86,100,1.81,ID,1702166536
44,bethel,41.3712,-73.414,10.11,87,100,1.17,US,1702166536
45,constantia,44.1833,28.65,-0.62,84,100,5.35,RO,1702166269
46,puerto ayora,-0.7393,-90.3518,24.75,95,37,0.89,EC,1702166537
47,tahe,52.3333,124.7333,-24.56,67,16,5.23,CN,1702166537
48,gadzhiyevo,69.2551,33.3362,-14.13,92,98,7.41,RU,1702166282
49,el alto,-4.2714,-81.2147,21.81,82,48,6.54,PE,1702166538
50,port elizabeth,-33.918,25.5701,15.05,82,0,2.57,ZA,1702166242
51,toledo,39.8333,-4.0,10.5,93,100,3.13,ES,1702166394
52,puerto natales,-51.7236,-72.4875,8.63,89,88,1.28,CL,1702166330
53,castillos,-34.1667,-53.8333,14.84,87,39,2.86,UY,1702166539
54,naliya,23.2667,68.8333,18.09,46,1,1.34,IN,1702166539
55,gulf shores,30.246,-87.7008,22.03,83,100,2.06,US,1702166348
56,bredasdorp,-34.5322,20.0403,15.46,83,26,2.85,ZA,1702166539
57,kendari,-3.945,122.4989,26.73,83,100,1.13,ID,1702166276
58,olonkinbyen,70.9221,-8.7187,-6.0,65,68,5.03,SJ,1702166540
59,edinburgh of the seven seas,-37.0676,-12.3116,14.2,77,95,6.2,SH,1702166540
60,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,95,100,6.71,RU,1702166540
61,gamay,12.3854,125.2979,27.22,81,87,2.65,PH,1702166541
62,ivdel',60.6911,60.4206,-23.78,99,100,1.38,RU,1702166541
63,fortuna,40.5982,-124.1573,13.29,71,0,0.0,US,1702166534
64,korla,41.7597,86.1469,0.09,57,79,2.88,CN,1702166528
65,westport,41.1415,-73.3579,10.15,91,0,2.06,US,1702166541
66,new norfolk,-42.7826,147.0587,17.73,34,59,1.36,AU,1702166541
67,yamada,39.4667,141.95,11.62,73,61,1.26,JP,1702166542
68,khandyga,62.6667,135.6,-32.38,99,100,0.8,RU,1702166254
